checking_acc,duration,credit_hist,purpose,credit_amount,savings_acc,employment_since,installment_rate,status_sex,guarantor,residence_since,property,age,other_installments,housing,existing_credits,job,no_people_liable,Telephone,foreign_worker,cost_matrix
no_acc,24,existing_paid,furniture,929,no_acc,seven,4,male_single,none,2,other,31,stores,own,1,skilled,1,yes,yes,1
no_acc,4,critical,new_car,1455,low,seven,2,male_single,none,1,real_estate,42,none,own,3,unskilled,2,no,yes,1
low,15,existing_paid,furniture,1845,low,one,4,female_divorced_married,guarantor,1,agreement,46,none,rent,1,skilled,1,no,yes,1
medium,48,no_credit,new_car,8358,silver,one,1,female_divorced_married,none,1,other,30,none,own,2,skilled,1,no,yes,1
low,24,paid,furniture,3349,silver,one,4,male_single,none,4,no_property,30,none,for free,1,skilled,2,yes,yes,2
no_acc,12,existing_paid,new_car,2859,no_acc,unemployed,4,male_single,none,4,no_property,38,none,own,1,management,1,yes,yes,1
no_acc,18,existing_paid,furniture,1533,low,one,4,male_married,co-applicant,1,agreement,43,none,own,1,unskilled,2,no,yes,2
no_acc,24,existing_paid,television,3621,medium,seven+,2,male_single,none,4,other,31,none,own,2,skilled,1,no,yes,2
medium,18,critical,business,3590,low,unemployed,3,male_married,none,3,other,40,none,own,3,unemployed,2,yes,yes,1
low,36,delay,business,2145,low,seven,2,male_single,none,1,other,24,none,own,2,skilled,1,yes,yes,2
medium,24,existing_paid,old_car,4113,silver,one,3,female_divorced_married,none,4,other,28,none,rent,1,skilled,1,no,yes,2
no_acc,36,existing_paid,furniture,10974,low,unemployed,4,female_divorced_married,none,2,other,26,none,own,2,management,1,yes,yes,2
low,12,existing_paid,new_car,1893,low,four,4,female_divorced_married,guarantor,4,agreement,29,none,own,1,skilled,1,yes,yes,1
low,24,critical,television,1231,gold,seven+,4,female_divorced_married,none,4,agreement,57,none,rent,2,management,1,yes,yes,1
high,30,critical,television,3656,no_acc,seven+,4,male_single,none,4,agreement,49,stores,own,2,unskilled,1,no,yes,1
medium,9,critical,television,1154,low,seven+,2,male_single,none,4,real_estate,37,none,own,3,unskilled,1,no,yes,1
low,28,existing_paid,new_car,4006,low,four,3,male_single,none,2,other,45,none,own,1,unskilled,1,no,yes,2
medium,24,existing_paid,furniture,3069,medium,seven+,4,male_single,none,4,no_property,30,none,for free,1,skilled,1,no,yes,1
no_acc,6,critical,television,1740,low,seven+,2,male_married,none,2,real_estate,30,none,rent,2,skilled,1,no,yes,1
medium,21,delay,new_car,2353,low,four,1,male_divorced,none,4,agreement,47,none,own,2,skilled,1,no,yes,1
no_acc,15,existing_paid,new_car,3556,no_acc,four,3,male_single,none,2,no_property,29,none,own,1,skilled,1,no,yes,1
no_acc,24,existing_paid,television,2397,silver,seven+,3,male_single,none,2,other,35,bank,own,2,skilled,1,yes,yes,2
medium,6,existing_paid,repairs,454,low,one,3,male_married,none,1,agreement,22,none,own,1,unskilled,1,no,yes,1
medium,30,existing_paid,television,1715,no_acc,four,4,female_divorced_married,none,1,other,26,none,own,1,skilled,1,no,yes,1
medium,27,critical,television,2520,silver,four,4,male_single,none,2,agreement,23,none,own,2,unskilled,1,no,yes,2
no_acc,15,existing_paid,television,3568,low,seven+,4,female_divorced_married,none,2,other,54,bank,rent,1,management,1,yes,yes,1
no_acc,42,existing_paid,television,7166,no_acc,seven,2,male_married,none,4,agreement,29,none,rent,1,skilled,1,yes,yes,1
low,11,critical,new_car,3939,low,four,1,male_single,none,2,real_estate,40,none,own,2,unskilled,2,no,yes,1
medium,15,existing_paid,repairs,1514,medium,four,4,male_single,guarantor,2,real_estate,22,none,own,1,skilled,1,no,yes,1
no_acc,24,existing_paid,new_car,7393,low,four,1,male_single,none,4,agreement,43,none,own,1,unskilled,2,no,yes,1
low,24,paid,new_car,1193,low,unemployed,1,female_divorced_married,co-applicant,4,no_property,29,none,rent,2,unemployed,1,no,yes,2
low,60,existing_paid,business,7297,low,seven+,4,male_single,co-applicant,4,no_property,36,none,rent,1,skilled,1,no,yes,2
no_acc,30,critical,television,2831,low,four,4,female_divorced_married,none,2,other,33,none,own,1,skilled,1,yes,yes,1
high,24,existing_paid,television,1258,silver,four,3,female_divorced_married,none,3,other,57,none,own,1,unskilled,1,no,yes,1
medium,6,existing_paid,television,753,low,four,2,female_divorced_married,guarantor,3,real_estate,64,none,own,1,skilled,1,no,yes,1
medium,18,delay,business,2427,no_acc,seven+,4,male_single,none,2,agreement,42,none,own,2,skilled,1,no,yes,1
no_acc,24,delay,new_car,2538,low,seven+,4,male_single,none,4,other,47,none,own,2,unskilled,2,no,yes,2
medium,15,paid,new_car,1264,medium,four,2,male_married,none,2,agreement,25,none,rent,1,skilled,1,no,yes,2
medium,30,critical,furniture,8386,low,seven,2,male_single,none,2,agreement,49,none,own,1,skilled,1,no,yes,2
no_acc,48,existing_paid,business,4844,low,unemployed,3,male_single,none,2,other,33,bank,rent,1,management,1,yes,yes,2
high,21,existing_paid,new_car,2923,medium,four,1,female_divorced_married,none,1,other,28,bank,own,1,management,1,yes,yes,1
low,36,existing_paid,old_car,8229,low,four,2,male_single,none,2,agreement,26,none,own,1,skilled,2,no,yes,2
no_acc,24,critical,furniture,2028,low,seven,2,male_single,none,2,agreement,30,none,own,2,unskilled,1,no,yes,1
low,15,critical,furniture,1433,low,four,4,female_divorced_married,none,3,agreement,25,none,rent,2,skilled,1,no,yes,1
high,42,no_credit,business,6289,low,one,2,male_divorced,none,1,agreement,33,none,own,2,skilled,1,no,yes,1
no_acc,13,existing_paid,television,1409,medium,unemployed,2,female_divorced_married,none,4,real_estate,64,none,own,1,skilled,1,no,yes,1
low,24,existing_paid,old_car,6579,low,unemployed,4,male_single,none,2,no_property,29,none,for free,1,management,1,yes,yes,1
medium,24,critical,television,1743,low,seven+,4,male_single,none,2,agreement,48,none,own,2,unskilled,1,no,yes,1
no_acc,12,critical,education,3565,no_acc,one,2,male_single,none,1,agreement,37,none,own,2,unskilled,2,no,yes,1
no_acc,15,paid,television,1569,medium,seven+,4,male_single,none,4,other,34,bank,own,1,unskilled,2,no,yes,1
low,18,existing_paid,television,1936,no_acc,seven,2,male_married,none,4,other,23,none,rent,2,unskilled,1,no,yes,1
low,36,existing_paid,furniture,3959,low,unemployed,4,male_single,none,3,agreement,30,none,own,1,management,1,yes,yes,1
no_acc,12,existing_paid,new_car,2390,no_acc,seven+,4,male_single,none,3,other,50,none,own,1,skilled,1,yes,yes,1
no_acc,12,existing_paid,furniture,1736,low,seven,3,female_divorced_married,none,4,real_estate,31,none,own,1,unskilled,1,no,yes,1
low,30,existing_paid,old_car,3857,low,four,4,male_divorced,none,4,agreement,40,none,own,1,management,1,yes,yes,1
no_acc,12,existing_paid,television,804,low,seven+,4,male_single,none,4,other,38,none,own,1,skilled,1,no,yes,1
low,45,existing_paid,television,1845,low,four,4,male_single,none,4,no_property,23,none,for free,1,skilled,1,yes,yes,2
medium,45,critical,old_car,4576,medium,unemployed,3,male_single,none,4,other,27,none,own,1,skilled,1,no,yes,1
